descripcion,causa
120/01/201009311-2010-0009P DEPRECATORIO,093112010000
219/01/201009311-2010-0008P DEPRECATORIO,093112010000
315/01/201009311-2010-0007P DEPRECATORIO,093112010000
413/01/201009311-2010-0006P DEPRECATORIO,093112010000
511/01/201009311-2010-0005P DEPRECATORIO,093112010000
611/01/201009311-2010-0004P DEPRECATORIO,093112010000
708/01/201009311-2010-0003P DEPRECATORIO,093112010000
806/01/201009311-2010-0002P DEPRECATORIO,093112010000
906/01/201009311-2010-0009  TUTELAS - CURADURIAS,093112010000
1005/01/201009311-2010-0004  ALIMENTOS,093112010000
1105/01/201009311-2010-0005  INSPECCION JUDICIAL,093112010000
1205/01/201009311-2010-0006  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010000
1305/01/201009311-2010-0007  DIVORCIO LITIGIOSO,093112010000
1405/01/201009311-2010-0008  DINERO,093112010000
1504/01/201009311-2010-0001  ACCIÓN DE PROTECCIÓN,093112010000
1604/01/201009311-2010-0001P DEPRECATORIO,093112010000
1704/01/201009311-2010-0002  PARTICION DE BIENES DE SOCIEDAD CONYUGAL (SECUELA DE LIQUIDACION),093112010000
108/02/201009311-2010-0019P DEPRECATORIO,093112010001
205/02/201009311-2010-0018P DEPRECATORIO,093112010001
305/02/201009311-2010-0017P DEPRECATORIO,093112010001
403/02/201009311-2010-0016P DEPRECATORIO,093112010001
503/02/201009311-2010-0015P DEPRECATORIO,093112010001
629/01/201009311-2010-0014P DEPRECATORIO,093112010001
728/01/201009311-2010-0013P DEPRECATORIO,093112010001
827/01/201009311-2010-0012P DEPRECATORIO,093112010001
926/01/201009311-2010-0011P DEPRECATORIO,093112010001
1022/01/201009311-2010-0010P DEPRECATORIO,093112010001
1108/01/201009311-2010-0017  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010001
1208/01/201009311-2010-0018  PRESCRIPCIONES,093112010001
1308/01/201009311-2010-0019  DIVORCIO LITIGIOSO,093112010001
1407/01/201009311-2010-0015  INVENTARIOS,093112010001
1506/01/201009311-2010-0010  OBLIGACIONES; ART. 423 CPC,093112010001
1606/01/201009311-2010-0011  OBLIGACIONES; ART. 423 CPC,093112010001
1706/01/201009311-2010-0013  DIVORCIO LITIGIOSO,093112010001
102/03/201009311-2010-0029P DEPRECATORIO,093112010002
201/03/201009311-2010-0028P DEPRECATORIO,093112010002
326/02/201009311-2010-0027P DEPRECATORIO,093112010002
425/02/201009311-2010-0026P DEPRECATORIO,093112010002
523/02/201009311-2010-0025P DEPRECATORIO,093112010002
622/02/201009311-2010-0024P DEPRECATORIO,093112010002
718/02/201009311-2010-0023P DEPRECATORIO,093112010002
817/02/201009311-2010-0022P DEPRECATORIO,093112010002
912/02/201009311-2010-0021P DEPRECATORIO,093112010002
1011/02/201009311-2010-0020P DEPRECATORIO,093112010002
1112/01/201009311-2010-0027  OBLIGACIONES; ART. 423 CPC,093112010002
1212/01/201009311-2010-0028  DIVORCIO LITIGIOSO,093112010002
1312/01/201009311-2010-0029  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010002
1411/01/201009311-2010-0024  DIVORCIO LITIGIOSO,093112010002
1511/01/201009311-2010-0025  COLUSORIOS,093112010002
1611/01/201009311-2010-0026  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010002
1708/01/201009311-2010-0021  EXTINCION DE PATRIMONIO FAMILIAR,093112010002
1808/01/201009311-2010-0020  INFORMACION SUMARIA,093112010002
1908/01/201009311-2010-0022  OBLIGACIONES; ART. 423 CPC,093112010002
119/03/201009311-2010-0039P DEPRECATORIO,093112010003
217/03/201009311-2010-0038P DEPRECATORIO,093112010003
316/03/201009311-2010-0037P DEPRECATORIO,093112010003
412/03/201009311-2010-0036P DEPRECATORIO,093112010003
511/03/201009311-2010-0035P DEPRECATORIO,093112010003
610/03/201009311-2010-0034P DEPRECATORIO,093112010003
710/03/201009311-2010-0033P DEPRECATORIO,093112010003
808/03/201009311-2010-0032P DEPRECATORIO,093112010003
905/03/201009311-2010-0031P DEPRECATORIO,093112010003
1004/03/201009311-2010-0030P DEPRECATORIO,093112010003
"1115/01/201009311-2010-0038  AUTORIZACIONES, LICENCIAS JUDICIALES",093112010003
1214/01/201009311-2010-0034  EXTINCION DE PATRIMONIO FAMILIAR,093112010003
1314/01/201009311-2010-0035  AMPARO POSESORIO,093112010003
1414/01/201009311-2010-0036  NULIDADES,093112010003
1514/01/201009311-2010-0037  OBLIGACIONES; ART. 423 CPC,093112010003
1613/01/201009311-2010-0030  RESERVA DE DOMINIO,093112010003
1713/01/201009311-2010-0032  LICENCIA DE CORREDOR DE BIENES RAÍCES,093112010003
109/04/201009311-2010-0049P DEPRECATORIO,093112010004
208/04/201009311-2010-0048P DEPRECATORIO,093112010004
306/04/201009311-2010-0047P DEPRECATORIO,093112010004
405/04/201009311-2010-0046P DEPRECATORIO,093112010004
531/03/201009311-2010-0045P DEPRECATORIO,093112010004
629/03/201009311-2010-0044P DEPRECATORIO,093112010004
726/03/201009311-2010-0043P DEPRECATORIO,093112010004
825/03/201009311-2010-0042P DEPRECATORIO,093112010004
924/03/201009311-2010-0041P DEPRECATORIO,093112010004
1022/03/201009311-2010-0040P DEPRECATORIO,093112010004
1119/01/201009311-2010-0048  INSPECCION JUDICIAL,093112010004
1219/01/201009311-2010-0049  TUTELAS - CURADURIAS,093112010004
1318/01/201009311-2010-0044  NULIDADES,093112010004
1418/01/201009311-2010-0041  CONFESION JUDICIAL,093112010004
1518/01/201009311-2010-0042  DIVORCIO LITIGIOSO,093112010004
1618/01/201009311-2010-0045  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010004
1715/01/201009311-2010-0040  DAÑOS Y PERJUICIOS,093112010004
129/04/201009311-2010-0059P DEPRECATORIO,093112010005
227/04/201009311-2010-0058P DEPRECATORIO,093112010005
326/04/201009311-2010-0057P DEPRECATORIO,093112010005
423/04/201009311-2010-0056P DEPRECATORIO,093112010005
521/04/201009311-2010-0055P DEPRECATORIO,093112010005
620/04/201009311-2010-0054P DEPRECATORIO,093112010005
719/04/201009311-2010-0053P DEPRECATORIO,093112010005
814/04/201009311-2010-0052P DEPRECATORIO,093112010005
914/04/201009311-2010-0051P DEPRECATORIO,093112010005
1012/04/201009311-2010-0050P DEPRECATORIO,093112010005
1121/01/201009311-2010-0058  REQUERIMIENTO,093112010005
1221/01/201009311-2010-0056  DIVORCIO LITIGIOSO,093112010005
1321/01/201009311-2010-0057  OTROS,093112010005
1420/01/201009311-2010-0052  ALIMENTOS,093112010005
1520/01/201009311-2010-0053  NOTIFICACION,093112010005
1620/01/201009311-2010-0054  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010005
1720/01/201009311-2010-0055  DIVORCIO LITIGIOSO,093112010005
1819/01/201009311-2010-0050  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010005
1919/01/201009311-2010-0051  DINERO,093112010005
114/05/201009311-2010-0069P DEPRECATORIO,093112010006
213/05/201009311-2010-0068P DEPRECATORIO,093112010006
312/05/201009311-2010-0067P DEPRECATORIO,093112010006
410/05/201009311-2010-0066P DEPRECATORIO,093112010006
507/05/201009311-2010-0065P DEPRECATORIO,093112010006
605/05/201009311-2010-0064P DEPRECATORIO,093112010006
705/05/201009311-2010-0063P DEPRECATORIO,093112010006
804/05/201009311-2010-0062P DEPRECATORIO,093112010006
903/05/201009311-2010-0061P DEPRECATORIO,093112010006
1030/04/201009311-2010-0060P DEPRECATORIO,093112010006
1125/01/201009311-2010-0069  EXTINCION DE PATRIMONIO FAMILIAR,093112010006
1222/01/201009311-2010-0064  EXTINCION DE PATRIMONIO FAMILIAR,093112010006
1322/01/201009311-2010-0066  PRESCRIPCIONES,093112010006
1421/01/201009311-2010-0063  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010006
1521/01/201009311-2010-0060  DIVORCIO LITIGIOSO,093112010006
1621/01/201009311-2010-0061  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010006
131/05/201009311-2010-0079P DEPRECATORIO,093112010007
228/05/201009311-2010-0078P DEPRECATORIO,093112010007
327/05/201009311-2010-0077P DEPRECATORIO,093112010007
425/05/201009311-2010-0076P DEPRECATORIO,093112010007
521/05/201009311-2010-0075P DEPRECATORIO,093112010007
621/05/201009311-2010-0074P DEPRECATORIO,093112010007
719/05/201009311-2010-0073P DEPRECATORIO,093112010007
819/05/201009311-2010-0072P DEPRECATORIO,093112010007
918/05/201009311-2010-0071P DEPRECATORIO,093112010007
1017/05/201009311-2010-0070P DEPRECATORIO,093112010007
1126/01/201009311-2010-0075  DINERO,093112010007
1226/01/201009311-2010-0076  COBRO DE LETRA DE CAMBIO,093112010007
1326/01/201009311-2010-0077  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010007
1426/01/201009311-2010-0078  OBLIGACIONES; ART. 423 CPC,093112010007
1526/01/201009311-2010-0079  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010007
1625/01/201009311-2010-0070  DINERO,093112010007
1725/01/201009311-2010-0071  DINERO,093112010007
1825/01/201009311-2010-0073  HABEAS CORPUS,093112010007
1925/01/201009311-2010-0074  COBRO DE OBLIGACIONES PROVENIENTES DE TARJETAS DE CRÉDITO,093112010007
117/06/201009311-2010-0089P DEPRECATORIO,093112010008
216/06/201009311-2010-0088P DEPRECATORIO,093112010008
311/06/201009311-2010-0087P DEPRECATORIO,093112010008
410/06/201009311-2010-0086P DEPRECATORIO,093112010008
509/06/201009311-2010-0085P DEPRECATORIO,093112010008
608/06/201009311-2010-0084P DEPRECATORIO,093112010008
708/06/201009311-2010-0083P DEPRECATORIO,093112010008
804/06/201009311-2010-0082P DEPRECATORIO,093112010008
902/06/201009311-2010-0081P DEPRECATORIO,093112010008
1002/06/201009311-2010-0080P DEPRECATORIO,093112010008
1129/01/201009311-2010-0089  RECUSACION,093112010008
1228/01/201009311-2010-0086  DINERO,093112010008
1328/01/201009311-2010-0085  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010008
1428/01/201009311-2010-0087  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010008
1527/01/201009311-2010-0080  TUTELAS - CURADURIAS,093112010008
1627/01/201009311-2010-0082  COBRO DE PAGARÉ A LA ORDEN,093112010008
1727/01/201009311-2010-0083  OBLIGACIONES; ART. 423 CPC,093112010008
1827/01/201009311-2010-0084  DIVORCIO LITIGIOSO,093112010008
130/06/201009311-2010-0099P DEPRECATORIO,093112010009
230/06/201009311-2010-0098P DEPRECATORIO,093112010009
329/06/201009311-2010-0097P DEPRECATORIO,093112010009
428/06/201009311-2010-0096P DEPRECATORIO,093112010009
525/06/201009311-2010-0095P DEPRECATORIO,093112010009
623/06/201009311-2010-0094P DEPRECATORIO,093112010009
723/06/201009311-2010-0093P DEPRECATORIO,093112010009
822/06/201009311-2010-0092P DEPRECATORIO,093112010009
922/06/201009311-2010-0091P DEPRECATORIO,093112010009
1017/06/201009311-2010-0090P DEPRECATORIO,093112010009
1101/02/201009311-2010-0099  COBRO DE PAGARÉ A LA ORDEN,093112010009
1201/02/201009311-2010-0094  DIVORCIO LITIGIOSO,093112010009
1301/02/201009311-2010-0095  COLUSORIOS,093112010009
1401/02/201009311-2010-0096  DINERO,093112010009
1501/02/201009311-2010-0097  OTROS,093112010009
1601/02/201009311-2010-0098  OBLIGACIONES; ART. 423 CPC,093112010009
1729/01/201009311-2010-0090  EXTINCION DE PATRIMONIO FAMILIAR,093112010009
1829/01/201009311-2010-0091  DINERO,093112010009
1929/01/201009311-2010-0092  DINERO,093112010009
2029/01/201009311-2010-0093  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010009
116/07/201009311-2010-0109P DEPRECATORIO,093112010010
215/07/201009311-2010-0108P DEPRECATORIO,093112010010
314/07/201009311-2010-0107P DEPRECATORIO,093112010010
413/07/201009311-2010-0106P DEPRECATORIO,093112010010
512/07/201009311-2010-0105P DEPRECATORIO,093112010010
608/07/201009311-2010-0104P DEPRECATORIO,093112010010
708/07/201009311-2010-0103P DEPRECATORIO,093112010010
806/07/201009311-2010-0102P DEPRECATORIO,093112010010
906/07/201009311-2010-0101P DEPRECATORIO,093112010010
1002/07/201009311-2010-0100P DEPRECATORIO,093112010010
1103/02/201009311-2010-0107  CONFESION JUDICIAL,093112010010
1202/02/201009311-2010-0100  DISOLUCIÓN DE LA SOCIEDAD CONYUGAL,093112010010
1302/02/201009311-2010-0101  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010010
1402/02/201009311-2010-0102  OBLIGACIONES; ART. 423 CPC,093112010010
1502/02/201009311-2010-0103  DIVORCIO LITIGIOSO,093112010010
1602/02/201009311-2010-0104  CONCURSO DE ACREEDORES,093112010010
1702/02/201009311-2010-0105  REQUERIMIENTO,093112010010
103/08/201009311-2010-0119P DEPRECATORIO,093112010011
230/07/201009311-2010-0118P DEPRECATORIO,093112010011
329/07/201009311-2010-0117P DEPRECATORIO,093112010011
428/07/201009311-2010-0116P DEPRECATORIO,093112010011
527/07/201009311-2010-0115P DEPRECATORIO,093112010011
626/07/201009311-2010-0114P DEPRECATORIO,093112010011
723/07/201009311-2010-0113P DEPRECATORIO,093112010011
821/07/201009311-2010-0112P DEPRECATORIO,093112010011
921/07/201009311-2010-0111P DEPRECATORIO,093112010011
1019/07/201009311-2010-0110P DEPRECATORIO,093112010011
1105/02/201009311-2010-0117  PAGO DE OBLIGACIONES CONSTANTES EN DOCUMENTOS PRIVADOS RECONOCIDOS LEGALMENTE,093112010011
1205/02/201009311-2010-0118  AMPARO POSESORIO,093112010011
"1305/02/201009311-2010-0119  AUTORIZACIONES, LICENCIAS JUDICIALES",093112010011
1404/02/201009311-2010-0111  REPOSICION DE FOLIOS,093112010011
1504/02/201009311-2010-0112  SOLICITUD DE EMBARGO,093112010011
1604/02/201009311-2010-0113  DINERO,093112010011
1704/02/201009311-2010-0114  DIVORCIO POR MUTUO CONSENTIMIENTO,093112010011
1804/02/201009311-2010-0115  COLUSORIOS,093112010011
120/08/201009311-2010-0129P DEPRECATORIO,093112010012
220/08/201009311-2010-0128P DEPRECATORIO,093112010012
317/08/201009311-2010-0127P DEPRECATORIO,093112010012
416/08/201009311-2010-0126P DEPRECATORIO,093112010012
512/08/201009311-2010-0125P DEPRECATORIO,093112010012
611/08/201009311-2010-0124P DEPRECATORIO,093112010012
710/08/201009311-2010-0123P DEPRECATORIO,093112010012
809/08/201009311-2010-0122P DEPRECATORIO,093112010012
906/08/201009311-2010-0121P DEPRECATORIO,093112010012
1005/08/201009311-2010-0120P DEPRECATORIO,093112010012
1108/02/201009311-2010-0124  2007010-DAÑO MORAL,093112010012
