descripcion,causa
105/01/201009303-2010-0007  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010000
205/01/201009303-2010-0008  AMPARO POSESORIO,093032010000
304/01/201009303-2010-0003  MATRICULA DE COMERCIO,093032010000
108/01/201009303-2010-0018  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010001
207/01/201009303-2010-0014  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010001
307/01/201009303-2010-0016  AMPARO POSESORIO,093032010001
406/01/201009303-2010-0011  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010001
506/01/201009303-2010-0012  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010001
112/01/201009303-2010-0027  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010002
212/01/201009303-2010-0028  DIVORCIO LITIGIOSO,093032010002
312/01/201009303-2010-0029  NEGATIVA DE INSCRIPCION EN EL REGISTRO CIVIL,093032010002
411/01/201009303-2010-0022  DIVORCIO LITIGIOSO,093032010002
115/01/201009303-2010-0038  REQUERIMIENTO,093032010003
214/01/201009303-2010-0034  DIVORCIO LITIGIOSO,093032010003
313/01/201009303-2010-0033  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010003
119/01/201009303-2010-0046  DIVORCIO LITIGIOSO,093032010004
219/01/201009303-2010-0048  REQUERIMIENTO,093032010004
319/01/201009303-2010-0049  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010004
418/01/201009303-2010-0043  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010004
515/01/201009303-2010-0041  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010004
121/01/201009303-2010-0059  DIVORCIO LITIGIOSO,093032010005
220/01/201009303-2010-0053  ALIMENTOS,093032010005
127/01/201009303-2010-0079  PARTICION,093032010007
226/01/201009303-2010-0075  REQUERIMIENTO,093032010007
325/01/201009303-2010-0071  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010007
129/01/201009303-2010-0089  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010008
228/01/201009303-2010-0087  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010008
327/01/201009303-2010-0084  SOLICITUD DE EMBARGO,093032010008
102/02/201009303-2010-0098  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010009
"201/02/201009303-2010-0094  AUTORIZACIONES, LICENCIAS JUDICIALES",093032010009
301/02/201009303-2010-0095  DIVORCIO LITIGIOSO,093032010009
103/02/201009303-2010-0109  DIVORCIO,093032010010
202/02/201009303-2010-0103  DIVORCIO LITIGIOSO,093032010010
302/02/201009303-2010-0101  HABEAS DATA,093032010010
402/02/201009303-2010-0100  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010010
502/02/201009303-2010-0102  RECUSACION,093032010010
602/02/201009303-2010-0104  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010010
108/02/201009303-2010-0124  REQUERIMIENTO,093032010012
208/02/201009303-2010-0129  COBRO DE HONORARIOS DE ABOGADO,093032010012
305/02/201009303-2010-0123  OTROS,093032010012
110/02/201009303-2010-0136  TUTELAS - CURADURIAS,093032010013
209/02/201009303-2010-0132  AMPARO POSESORIO,093032010013
112/02/201009303-2010-0143  DIVORCIO LITIGIOSO,093032010014
212/02/201009303-2010-0144  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010014
311/02/201009303-2010-0140  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010014
411/02/201009303-2010-0141  RECTIFICACION DE PARTIDAS,093032010014
119/02/201009303-2010-0153  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010015
218/02/201009303-2010-0151  DIVORCIO LITIGIOSO,093032010015
123/02/201009303-2010-0166  DIVORCIO LITIGIOSO,093032010016
223/02/201009303-2010-0168  TUTELAS - CURADURIAS,093032010016
323/02/201009303-2010-0169  LIQUIDACION DE LA SOCIEDAD CONYUGAL (SECUELA DE JUICIO),093032010016
422/02/201009303-2010-0161  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010016
123/02/201009303-2010-0173  DIVORCIO LITIGIOSO,093032010017
126/02/201009303-2010-0188  EXHIBICION,093032010018
225/02/201009303-2010-0180  DIVORCIO LITIGIOSO,093032010018
325/02/201009303-2010-0182  DIVORCIO LITIGIOSO,093032010018
102/03/201009303-2010-0195  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010019
202/03/201009303-2010-0199  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010019
104/03/201009303-2010-0205  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010020
203/03/201009303-2010-0202  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010020
104/03/201009303-2010-0205  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010020
203/03/201009303-2010-0202  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010020
109/03/201009303-2010-0217  OTROS,093032010021
205/03/201009303-2010-0213  OTROS,093032010021
110/03/201009303-2010-0222  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010022
210/03/201009303-2010-0225  DIVORCIO LITIGIOSO,093032010022
309/03/201009303-2010-0220  DIVORCIO LITIGIOSO,093032010022
"112/03/201009303-2010-0237  AUTORIZACIONES, LICENCIAS JUDICIALES",093032010023
211/03/201009303-2010-0231  DIVORCIO LITIGIOSO,093032010023
311/03/201009303-2010-0232  EXHIBICION,093032010023
116/03/201009303-2010-0249  MATRICULA DE COMERCIO,093032010024
215/03/201009303-2010-0242  REQUERIMIENTO,093032010024
117/03/201009303-2010-0258  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010025
217/03/201009303-2010-0257  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010025
119/03/201009303-2010-0268  TUTELA O CURADURÍA,093032010026
219/03/201009303-2010-0269  DIVORCIO LITIGIOSO,093032010026
317/03/201009303-2010-0261  DIVORCIO,093032010026
122/03/201009303-2010-0276  DIVORCIO LITIGIOSO,093032010027
124/03/201009303-2010-0286  DIVORCIO LITIGIOSO,093032010028
223/03/201009303-2010-0280  TUTELAS - CURADURIAS,093032010028
125/03/201009303-2010-0297  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010029
225/03/201009303-2010-0294  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010029
129/03/201009303-2010-0307  DIVORCIO POR MUTUO CONSENTIMIENTO,093032010030
