descripcion,causa
119/02/201009801-2010-0005  SUBJETIVO,098012010000
207/01/201009801-2010-0004  AFILIACION FRAUDULENTA,098012010000
307/01/201009801-2010-0006  SUBJETIVO,098012010000
407/01/201009801-2010-0007  SUBJETIVO,098012010000
507/01/201009801-2010-0008  SUBJETIVO,098012010000
607/01/201009801-2010-0009  SUBJETIVO,098012010000
706/01/201009801-2010-0002  SUBJETIVO,098012010000
806/01/201009801-2010-0003  AFILIACION FRAUDULENTA,098012010000
905/01/201009801-2010-0001  SUPRESION PARTIDA,098012010000
129/03/201009801-2010-0014P SANCIONES ADMINISTRATIVAS,098012010001
220/02/201009801-2010-0018  ADMINISTRATIVO,098012010001
311/01/201009801-2010-0014  RESOLUCIONES FIRMES DE LA CONTRALORIA GENERAL,098012010001
411/01/201009801-2010-0015  IMPUGNACION DE RESOLUCIONES,098012010001
511/01/201009801-2010-0016  SUBJETIVO,098012010001
611/01/201009801-2010-0017  SUBJETIVO,098012010001
711/01/201009801-2010-0019  IMPUGNACION DE RESOLUCIONES,098012010001
807/01/201009801-2010-0010  SUBJETIVO,098012010001
907/01/201009801-2010-0011  SUPRESION PARTIDA,098012010001
1007/01/201009801-2010-0012  SUBJETIVO,098012010001
1107/01/201009801-2010-0013  SUBJETIVO,098012010001
115/07/201009801-2010-0028  SUBJETIVO,098012010002
218/01/201009801-2010-0029  IMPUGNACION DE RESOLUCIONES,098012010002
315/01/201009801-2010-0027  DESTITUCION,098012010002
414/01/201009801-2010-0025  SUBJETIVO,098012010002
514/01/201009801-2010-0026  SUBJETIVO,098012010002
613/01/201009801-2010-0024  SUBJETIVO,098012010002
712/01/201009801-2010-0020  SUBJETIVO,098012010002
812/01/201009801-2010-0021  SUBJETIVO,098012010002
912/01/201009801-2010-0022  SUBJETIVO,098012010002
1012/01/201009801-2010-0023  SUBJETIVO,098012010002
129/09/201009801-2010-0038P DEPRECATORIO,098012010003
218/05/201009801-2010-0035  SUBJETIVO,098012010003
329/03/201009801-2010-0030  SUBJETIVO,098012010003
429/03/201009801-2010-0038  SUBJETIVO,098012010003
521/01/201009801-2010-0039  SUBJETIVO,098012010003
620/01/201009801-2010-0036  SUBJETIVO,098012010003
720/01/201009801-2010-0037  SUBJETIVO,098012010003
819/01/201009801-2010-0031  SUBJETIVO,098012010003
919/01/201009801-2010-0032  IMPUGNACION DE RESOLUCIONES,098012010003
1019/01/201009801-2010-0033  SANCIONES ADMINISTRATIVAS,098012010003
1119/01/201009801-2010-0034  NULIDAD DE SENTENCIAS,098012010003
112/04/201009801-2010-0042  SUBJETIVO,098012010004
212/04/201009801-2010-0043  ADMINISTRATIVO,098012010004
308/03/201009801-2010-0044  SUBJETIVO,098012010004
409/02/201009801-2010-0048  ADMINISTRATIVO,098012010004
528/01/201009801-2010-0049  SUBJETIVO,098012010004
627/01/201009801-2010-0046  SUPRESION PARTIDA,098012010004
727/01/201009801-2010-0047  SUBJETIVO,098012010004
826/01/201009801-2010-0045  SANCIONES ADMINISTRATIVAS,098012010004
922/01/201009801-2010-0041  COMPENSACION GASTOS MEDICOS,098012010004
1021/01/201009801-2010-0040  SUBJETIVO,098012010004
126/04/201009801-2010-0057  IMPUGNACION DE RESOLUCIONES,098012010005
212/04/201009801-2010-0053  ADMINISTRATIVO,098012010005
312/04/201009801-2010-0052  SUBJETIVO,098012010005
412/04/201009801-2010-0058  DESTITUCION,098012010005
522/03/201009801-2010-0050  SUBJETIVO,098012010005
628/01/201009801-2010-0051  SUBJETIVO,098012010005
728/01/201009801-2010-0054  IMPUGNACION DE RESOLUCIONES,098012010005
828/01/201009801-2010-0055  SUBJETIVO,098012010005
928/01/201009801-2010-0056  SANCIONES ADMINISTRATIVAS,098012010005
1028/01/201009801-2010-0059  SUBJETIVO,098012010005
128/04/201009801-2010-0065  IMPUGNACION DE RESOLUCIONES,098012010006
226/04/201009801-2010-0061  SUBJETIVO,098012010006
329/03/201009801-2010-0065P INCUMPLIMIENTO DE CONTRATO POR PARTE DEL PARTICULAR,098012010006
429/01/201009801-2010-0067  SUBJETIVO,098012010006
529/01/201009801-2010-0068  SUBJETIVO,098012010006
629/01/201009801-2010-0069  SUBJETIVO,098012010006
728/01/201009801-2010-0060  DESTITUCION,098012010006
828/01/201009801-2010-0062  IMPUGNACION DE RESOLUCIONES,098012010006
928/01/201009801-2010-0063  SANCIONES ADMINISTRATIVAS,098012010006
1028/01/201009801-2010-0064  DESTITUCION,098012010006
1128/01/201009801-2010-0066  SUBJETIVO,098012010006
115/03/201009801-2010-0077  ADMINISTRATIVO,098012010007
215/03/201009801-2010-0074  IMPUGNACION DE RESOLUCIONES,098012010007
301/02/201009801-2010-0073  SUBJETIVO,098012010007
401/02/201009801-2010-0075  SUBJETIVO,098012010007
501/02/201009801-2010-0076  SUBJETIVO,098012010007
601/02/201009801-2010-0078  SANCIONES ADMINISTRATIVAS,098012010007
701/02/201009801-2010-0079  DESTITUCION,098012010007
829/01/201009801-2010-0070  SANCIONES ADMINISTRATIVAS,098012010007
929/01/201009801-2010-0071  SANCIONES ADMINISTRATIVAS,098012010007
1029/01/201009801-2010-0072  SUBJETIVO,098012010007
118/05/201009801-2010-0086  IMPUGNACION DE RESOLUCIONES,098012010008
226/04/201009801-2010-0082  SUBJETIVO,098012010008
312/04/201009801-2010-0085  SUBJETIVO,098012010008
429/03/201009801-2010-0085P SANCIONES ADMINISTRATIVAS,098012010008
515/03/201009801-2010-0088  ADMINISTRATIVO,098012010008
608/03/201009801-2010-0083  IMPUGNACION DE RESOLUCIONES,098012010008
701/02/201009801-2010-0080  SANCIONES ADMINISTRATIVAS,098012010008
801/02/201009801-2010-0081  SANCIONES ADMINISTRATIVAS,098012010008
901/02/201009801-2010-0084  DESTITUCION,098012010008
1001/02/201009801-2010-0087  DESTITUCION,098012010008
1101/02/201009801-2010-0089  DESTITUCION,098012010008
126/04/201009801-2010-0091  EXCEPCIÓNES AL PROCEDIMIENTO DE EJECUCIÓN,098012010009
229/03/201009801-2010-0097  ADMINISTRATIVO,098012010009
322/03/201009801-2010-0096  SUBJETIVO,098012010009
403/03/201009801-2010-0095  IMPUGNACION DE RESOLUCIONES,098012010009
503/02/201009801-2010-0094  SANCIONES ADMINISTRATIVAS,098012010009
603/02/201009801-2010-0098  DESTITUCION,098012010009
703/02/201009801-2010-0099  SUBJETIVO,098012010009
802/02/201009801-2010-0093  SUBJETIVO,098012010009
901/02/201009801-2010-0090  SUBJETIVO,098012010009
1001/02/201009801-2010-0092  SANCIONES ADMINISTRATIVAS,098012010009
126/04/201009801-2010-0103  SUBJETIVO,098012010010
229/03/201009801-2010-0109  SUBJETIVO,098012010010
315/03/201009801-2010-0105  SUBJETIVO,098012010010
415/03/201009801-2010-0104  SUBJETIVO,098012010010
505/02/201009801-2010-0106  SUBJETIVO,098012010010
605/02/201009801-2010-0107  IMPUGNACION DE RESOLUCIONES,098012010010
705/02/201009801-2010-0108  TERMINACION UNILATERAL DE CONTRATO,098012010010
804/02/201009801-2010-0101  SUBJETIVO,098012010010
904/02/201009801-2010-0102  IMPUGNACION DE RESOLUCIONES,098012010010
1003/02/201009801-2010-0100  SUBJETIVO,098012010010
110/11/201009801-2010-0119  SUBJETIVO,098012010011
218/05/201009801-2010-0116  ADMINISTRATIVO,098012010011
318/05/201009801-2010-0117  IMPUGNACION DE RESOLUCIONES,098012010011
429/03/201009801-2010-0112  INCUMPLIMIENTO DE CONTRATO POR PARTE DEL ESTADO,098012010011
529/03/201009801-2010-0112E RELIQUIDACIONES,098012010011
629/03/201009801-2010-0112P MULTAS,098012010011
729/03/201009801-2010-0118  SUBJETIVO,098012010011
810/02/201009801-2010-0115  IMPUGNACION DE RESOLUCIONES,098012010011
909/02/201009801-2010-0110  SUBJETIVO,098012010011
1009/02/201009801-2010-0111  SUBJETIVO,098012010011
1109/02/201009801-2010-0113  SUBJETIVO,098012010011
129/03/201009801-2010-0124  SUBJETIVO,098012010012
223/02/201009801-2010-0129  SUBJETIVO,098012010012
322/02/201009801-2010-0128  SUBJETIVO,098012010012
420/02/201009801-2010-0127  SUBJETIVO,098012010012
519/02/201009801-2010-0125  IMPUGNACION DE RESOLUCIONES,098012010012
619/02/201009801-2010-0126  SANCIONES ADMINISTRATIVAS,098012010012
717/02/201009801-2010-0122  IMPUGNACION DE RESOLUCIONES,098012010012
817/02/201009801-2010-0123  PAGO DE VALORES,098012010012
912/02/201009801-2010-0120  DESTITUCION,098012010012
1012/02/201009801-2010-0121  SUBJETIVO,098012010012
101/06/201009801-2010-0137  IMPUGNACION DE RESOLUCIONES,098012010013
218/05/201009801-2010-0133  IMPUGNACION DE RESOLUCIONES,098012010013
318/05/201009801-2010-0136  SUBJETIVO,098012010013
