descripcion,causa
No se encuentran resultados.,092102010002
No se encuentran resultados.,092102011003
No se encuentran resultados.,092102012003
No se encuentran resultados.,092102013003
112/11/201409210-2014-0019G DEPRECATORIO,092102014001
211/11/201409210-2014-0018G DEPRECATORIO,092102014001
310/11/201409210-2014-0016G DEPRECATORIO,092102014001
410/11/201409210-2014-0017G DEPRECATORIO,092102014001
507/11/201409210-2014-0014G DEPRECATORIO,092102014001
607/11/201409210-2014-0015G DEPRECATORIO,092102014001
706/11/201409210-2014-0013G DEPRECATORIO,092102014001
805/11/201409210-2014-0011G DEPRECATORIO,092102014001
905/11/201409210-2014-0012G DEPRECATORIO,092102014001
1004/11/201409210-2014-0010G DEPRECATORIO,092102014001
1128/10/201409210-2014-0018  ALIMENTOS,092102014001
1228/10/201409210-2014-0019  ABANDONO DEL HOGAR,092102014001
1327/10/201409210-2014-0011  ALIMENTOS,092102014001
1427/10/201409210-2014-0012  DIVORCIO POR MUTUO CONSENTIMIENTO,092102014001
1527/10/201409210-2014-0013  ALIMENTOS,092102014001
1627/10/201409210-2014-0014  ALIMENTOS,092102014001
1727/10/201409210-2014-0015  ALIMENTOS CONGRUOS,092102014001
1827/10/201409210-2014-0016  CONSIGNACIÓN VOLUNTARIA DE ALIMENTOS,092102014001
1927/10/201409210-2014-0017  ALIMENTOS,092102014001
2024/10/201409210-2014-0010  AUTORIZACIÓN JUDICIAL,092102014001
120/11/201409210-2014-0028G DEPRECATORIO,092102014002
220/11/201409210-2014-0029G DEPRECATORIO,092102014002
319/11/201409210-2014-0026G DEPRECATORIO,092102014002
419/11/201409210-2014-0027G DEPRECATORIO,092102014002
518/11/201409210-2014-0023G DEPRECATORIO,092102014002
618/11/201409210-2014-0024G DEPRECATORIO,092102014002
718/11/201409210-2014-0025G DEPRECATORIO,092102014002
817/11/201409210-2014-0022G DEPRECATORIO,092102014002
912/11/201409210-2014-0020G DEPRECATORIO,092102014002
1012/11/201409210-2014-0021G DEPRECATORIO,092102014002
1129/10/201409210-2014-0029  ABANDONO DEL HOGAR,092102014002
1228/10/201409210-2014-0020  ALIMENTOS,092102014002
1328/10/201409210-2014-0021  DIVORCIO POR MUTUO CONSENTIMIENTO,092102014002
1428/10/201409210-2014-0022  ALIMENTOS,092102014002
1528/10/201409210-2014-0023  ALIMENTOS,092102014002
1628/10/201409210-2014-0024  ALIMENTOS,092102014002
1728/10/201409210-2014-0025  CONSIGNACIÓN VOLUNTARIA DE ALIMENTOS,092102014002
1828/10/201409210-2014-0026  ALIMENTOS,092102014002
1928/10/201409210-2014-0027  CESIÓN DE LA PATRIA POTESTAD,092102014002
2028/10/201409210-2014-0028  ALIMENTOS,092102014002
126/11/201409210-2014-0039G DEPRECATORIO,092102014003
224/11/201409210-2014-0038G DEPRECATORIO,092102014003
321/11/201409210-2014-0036G DEPRECATORIO,092102014003
421/11/201409210-2014-0037G DEPRECATORIO,092102014003
520/11/201409210-2014-0030G DEPRECATORIO,092102014003
620/11/201409210-2014-0031G DEPRECATORIO,092102014003
720/11/201409210-2014-0032G DEPRECATORIO,092102014003
820/11/201409210-2014-0033G DEPRECATORIO,092102014003
920/11/201409210-2014-0034G DEPRECATORIO,092102014003
1020/11/201409210-2014-0035G DEPRECATORIO,092102014003
