descripcion,causa
125/01/201009901-2010-0001P DEPRECATORIO,099012010000
214/01/201009901-2010-0009  TENENCIA DE ARMAS,099012010000
312/01/201009901-2010-0007  ESTAFA,099012010000
411/01/201009901-2010-0008  TENENCIA DE ARMAS,099012010000
508/01/201009901-2010-0005  ESTUPEFACIENTES,099012010000
608/01/201009901-2010-0006  ROBO,099012010000
707/01/201009901-2010-0003  OTRO,099012010000
807/01/201009901-2010-0004  TENENCIA DE ARMAS,099012010000
906/01/201009901-2010-0001  CONTRA LA VIDA,099012010000
1004/01/201009901-2010-0002  ROBO,099012010000
126/01/201009901-2010-0019  ASESINATO,099012010001
222/01/201009901-2010-0018  TENENCIA DE ARMAS,099012010001
322/01/201009901-2010-0017  INDAGACION,099012010001
421/01/201009901-2010-0016  ESTUPEFACIENTES,099012010001
519/01/201009901-2010-0013  PLAGIO,099012010001
619/01/201009901-2010-0015  ESTUPEFACIENTES,099012010001
718/01/201009901-2010-0014  TENENCIA DE ARMAS,099012010001
814/01/201009901-2010-0010  ROBO,099012010001
914/01/201009901-2010-0012  ESTUPEFACIENTES,099012010001
1013/01/201009901-2010-0011  CONTRA LA VIDA,099012010001
105/02/201009901-2010-0029  TENENCIA DE ARMAS,099012010002
203/02/201009901-2010-0025  CONTRA LA FE PUBLICA,099012010002
303/02/201009901-2010-0027  ESTUPEFACIENTES,099012010002
402/02/201009901-2010-0028  CONTRA LA VIDA,099012010002
528/01/201009901-2010-0024  ROBO,099012010002
628/01/201009901-2010-0020  TENENCIA DE ARMAS,099012010002
728/01/201009901-2010-0021  ROBO,099012010002
828/01/201009901-2010-0022  LESIONES,099012010002
928/01/201009901-2010-0023  HURTO,099012010002
1003/01/201009901-2010-0026  ESTUPEFACIENTES,099012010002
118/02/201009901-2010-0039  ROBO,099012010003
217/02/201009901-2010-0038  ROBO,099012010003
312/02/201009901-2010-0036  ROBO,099012010003
411/02/201009901-2010-0035  ROBO,099012010003
510/02/201009901-2010-0034  ROBO,099012010003
609/02/201009901-2010-0033  TENENCIA DE ARMAS,099012010003
708/02/201009901-2010-0031  TENENCIA DE ARMAS,099012010003
808/02/201009901-2010-0032  HURTO,099012010003
905/02/201009901-2010-0030  ESTUPEFACIENTES,099012010003
104/03/201009901-2010-0048  TENENCIA DE ARMAS,099012010004
204/03/201009901-2010-0049  LA ESTAFA,099012010004
302/03/201009901-2010-0047  EL ROBO,099012010004
426/02/201009901-2010-0046  ABUSO DE ARMAS.,099012010004
525/02/201009901-2010-0045  ROBO,099012010004
624/02/201009901-2010-0043  ROBO,099012010004
724/02/201009901-2010-0044  ROBO,099012010004
822/02/201009901-2010-0042  LA ESTAFA,099012010004
919/02/201009901-2010-0040  FALSIFICACIÓN DE DOCUMENTOS.,099012010004
1019/02/201009901-2010-0041  ROBO,099012010004
