descripcion,causa
No se encuentran resultados.,099652010002
No se encuentran resultados.,099652011003
No se encuentran resultados.,099652012003
No se encuentran resultados.,099652013003
108/01/201409965-2014-0025  ACCION DE PROTECCION,099652014002
No se encuentran resultados.,099652014004
No se encuentran resultados.,099652010002
No se encuentran resultados.,099652011003
No se encuentran resultados.,099652012003
No se encuentran resultados.,099652013003
108/01/201409965-2014-0025  ACCION DE PROTECCION,099652014002
No se encuentran resultados.,099652014004
